"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:52:34.1127728 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32\(Default)","SUCCESS","Type: REG_EXPAND_SZ, Length: 70, Data: %SystemRoot%\System32\MMDevApi.dll"
"9:52:34.1128066 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32\ThreadingModel","SUCCESS","Type: REG_SZ, Length: 10, Data: both"
"9:52:34.1128515 AM","AUDIODG.EXE","1768","RegCloseKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32","SUCCESS",""
"9:52:34.1128808 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1129109 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocHandler32","NAME NOT FOUND","Desired Access: Query Value"
"9:52:34.1129554 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1129865 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocHandler","NAME NOT FOUND","Desired Access: Query Value"
"9:52:34.1130321 AM","AUDIODG.EXE","1768","RegCloseKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS",""
"9:52:34.1131495 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1131852 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Desired Access: Read"
"9:52:34.1132282 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1132615 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
